planning_area,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,27047.0,10381.5,19672.25,361.5,355.25,1536.0,27416.75,3886.5,2116.0,6715.25,5687.75,10311.75,1650.0,5210.75,8677.0,897.75,1089.25,743.0
Tanglin,794.5,112.75,501.0,29.5,5.0,326.75,4651.25,42.75,2.0,63.75,323.25,512.0,50.0,210.25,269.25,14.75,246.75,11.75
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,12047.0,6674.5,9915.75,122.25,135.75,573.5,11334.75,1424.25,858.75,1722.0,2094.0,6010.0,625.0,3021.0,4211.75,276.75,546.25,210.75
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,14667.5,13340.75,21409.25,346.25,426.0,757.25,20427.25,4315.25,3093.25,7080.5,4931.25,9511.5,1475.0,4524.75,10938.5,1058.75,761.5,1065.0
Yishun,14889.0,12752.75,17600.5,259.0,288.5,519.75,17001.5,3056.25,2800.75,4382.75,3936.5,9342.0,975.0,4210.25,9036.5,789.5,670.75,764.75
