planning_area,total,below_sgd_1000,sgd_10000_to_10999,sgd_11000_to_11999,sgd_12000_over,sgd_1000_to_1499,sgd_1000_to_1999,sgd_2000_to_2499,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,sgd_1000_to_1999,sgd_2000_to_2999,sgd_12000_14999,sgd_15000_over
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,22810.0,1749.0,483.0,298.5,1450.0,1418.0,655.25,1178.5,907.25,2416.75,1818.25,1603.75,1186.25,949.5,714.5,1530.0,462.5,391.75,655.25,541.25,382.25,1378.5
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,10006.5,1599.75,200.25,111.25,300.0,1208.75,414.0,662.25,507.0,1042.5,665.0,588.75,135.25,381.5,218.0,192.5,218.5,101.5,414.0,277.75,141.5,211.75
Pasir Ris,69888.5,5191.25,1321.0,971.25,1975.0,3270.75,2059.75,4326.75,3873.25,9835.25,7684.0,5963.0,1910.0,3851.75,2702.5,2690.0,1816.5,1623.0,2059.75,2349.0,1077.0,1685.75
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,62513.0,3575.0,1821.6666666666667,1362.3333333333333,1533.3333333333333,1694.3333333333333,3299.0,1880.0,2018.3333333333333,7708.0,6836.0,6309.0,0.0,4927.333333333333,4463.0,1367.3333333333333,3144.0,2400.6666666666665,3299.0,3180.6666666666665,1739.3333333333333,1519.3333333333333
Queenstown,47097.75,4574.25,807.75,625.75,1450.0,3685.25,1596.25,3138.0,2539.25,5415.5,4229.75,3214.0,1279.25,2170.75,1626.5,2018.25,1091.75,874.0,1596.25,1269.0,823.0,1360.0
River Valley,4410.0,163.66666666666666,61.0,59.0,0.0,61.666666666666664,74.66666666666667,129.33333333333334,149.0,355.6666666666667,320.6666666666667,316.0,580.6666666666666,156.0,139.0,679.0,77.0,49.333333333333336,74.66666666666667,76.33333333333333,112.33333333333333,757.3333333333334
Rochor,5116.0,693.6666666666666,0.0,0.0,0.0,702.0,0.0,605.6666666666666,441.6666666666667,705.0,427.3333333333333,267.0,161.0,115.0,80.33333333333333,286.0,0.0,0.0,0.0,0.0,0.0,0.0
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,39105.0,2830.75,788.5,533.75,575.0,2015.5,1663.25,2337.5,1763.25,5669.5,4223.75,3614.25,210.75,2615.0,2070.25,920.75,1262.5,934.25,1663.25,1935.75,559.25,540.25
Sengkang,94333.5,6353.25,2370.5,1543.75,2325.0,4387.25,4307.5,5546.75,4453.5,12544.75,10481.0,8181.5,353.0,6465.75,4955.0,2458.25,3456.5,2299.25,4307.5,3848.25,1748.75,1662.0
Serangoon,62797.5,4823.25,1097.5,843.5,2675.0,4172.5,1879.5,3884.75,3263.5,7944.5,5700.75,4860.0,2905.75,2780.5,2199.5,3233.5,1313.0,1056.75,1879.5,1561.75,906.75,2037.25
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,450.0,20.5,0.0,0.0,0.0,0.0,0.0,7.5,10.0,22.5,21.5,36.0,0.0,26.0,25.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,134654.25,11614.25,1936.25,1518.5,2900.0,9489.5,4832.5,10147.25,8501.75,19577.5,13987.5,10193.75,2637.25,6449.0,4888.75,3713.25,2925.75,2066.0,4832.5,4312.0,1464.0,1960.5
Tanglin,8235.5,378.0,200.25,106.5,1200.0,97.0,83.75,212.0,141.5,527.75,536.5,468.5,815.5,235.5,294.75,1145.25,221.75,106.25,83.75,95.75,202.25,1099.75
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,62165.0,6592.75,982.5,772.25,1525.0,5044.5,2216.5,4436.5,3675.5,8137.25,5758.5,4264.25,1199.75,2690.0,2060.5,1868.75,1366.0,1138.0,2216.5,1768.5,795.0,1289.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,121124.25,10879.75,1215.0,838.25,1200.0,9357.25,5032.75,10172.75,8213.25,17781.5,12531.75,9001.25,1154.25,6074.0,4103.5,2036.25,2627.75,1882.25,5032.75,5256.5,986.0,698.5
Yishun,104024.5,9556.75,1293.25,880.5,1125.0,9154.0,4466.75,8063.0,6517.25,15086.25,10184.0,7806.0,1325.75,4453.0,3397.25,1718.0,2402.25,1668.0,4466.75,4684.0,830.0,1006.25
